url,name
https://rabota.sber.ru/search/4290224/,Вакансия Аналитик социальных сетей и СМИ в г Москва - работа в Сбере

https://rabota.sber.ru/search/4291411/,Вакансия Junior системный аналитик (модель данных) в г Москва - работа в Сбере

https://rabota.sber.ru/search/4289000/,Вакансия Аналитик в г Москва - работа в Сбере

https://rabota.sber.ru/search/4196228/,Вакансия System analyst в г Москва - работа в Сбере

https://dolgoprudny.hh.ru/vacancy/97730064?from=employer&hhtmFrom=employer,"21 ・ Вакансия Аналитик CRM в Москве, работа в компании X5 GROUP, Центральный офис"

https://dolgoprudny.hh.ru/vacancy/93463055?from=employer&hhtmFrom=employer,"21 ・ Вакансия Ведущий бизнес-аналитик в Москве, работа в компании X5 GROUP, Центральный офис"

https://job.ozon.ru/vacancy/sistemnii-analitik-stazher-97656311/?query=null&department=Ozon%20%D0%98%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D1%8B%D0%B5%20%D1%82%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8&level=%D0%A1%D1%82%D0%B0%D0%B6%D0%B5%D1%80,Вакансия: Системный аналитик (Стажер) – Москва – работа в Ozon

https://job.ozon.ru/vacancy/stazher-analitik-dannikh-marketplei-otdel-produktovoi-analitiki-97467600/?query=null&department=Ozon%20%D0%98%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D1%8B%D0%B5%20%D1%82%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8&level=%D0%A1%D1%82%D0%B0%D0%B6%D0%B5%D1%80,"Вакансия: Стажер-аналитик данных, Маркетплей, Отдел продуктовой аналитики – Москва – работа в Ozon"

